iter	Passed	Remaining
715	1612	639
716	1615	637
717	1617	635
718	1619	632
719	1621	630
720	1623	628
721	1625	625
722	1628	623
723	1630	621
724	1632	619
725	1634	616
726	1636	614
727	1639	612
728	1641	610
729	1643	607
730	1645	605
731	1647	603
732	1650	601
733	1652	598
734	1654	596
735	1656	594
736	1659	592
737	1661	589
738	1663	587
739	1665	585
740	1667	582
741	1669	580
742	1672	578
743	1674	576
744	1676	573
745	1678	571
746	1680	569
747	1683	567
748	1685	564
749	1687	562
750	1689	560
751	1692	558
752	1694	555
753	1696	553
754	1698	551
755	1700	548
756	1702	546
757	1704	544
758	1707	542
759	1709	539
760	1711	537
761	1714	535
762	1716	533
763	1718	530
764	1720	528
765	1722	526
766	1724	523
767	1727	521
768	1729	519
769	1731	517
770	1733	514
771	1735	512
772	1737	510
773	1740	508
774	1742	505
775	1744	503
776	1746	501
777	1749	499
778	1751	496
779	1753	494
780	1756	492
781	1758	490
782	1761	488
783	1763	485
784	1765	483
785	1767	481
786	1770	479
787	1772	476
788	1774	474
789	1776	472
790	1779	470
791	1781	467
792	1783	465
793	1785	463
794	1787	460
795	1789	458
796	1792	456
797	1794	454
798	1796	451
799	1798	449
800	1800	447
801	1802	445
802	1804	442
803	1807	440
804	1809	438
805	1811	436
806	1813	433
807	1815	431
808	1817	429
809	1820	426
810	1822	424
811	1824	422
812	1826	420
813	1828	417
814	1830	415
815	1832	413
816	1835	411
817	1837	408
818	1839	406
819	1841	404
820	1843	401
821	1845	399
822	1847	397
823	1850	395
824	1852	392
825	1854	390
826	1856	388
827	1859	386
828	1861	383
829	1863	381
830	1865	379
831	1867	377
832	1869	374
833	1872	372
834	1874	370
835	1876	368
836	1878	365
837	1880	363
838	1883	361
839	1885	359
840	1887	356
841	1889	354
842	1892	352
843	1894	350
844	1897	347
845	1899	345
846	1901	343
847	1904	341
848	1906	339
849	1908	336
850	1910	334
851	1915	332
852	1919	330
853	1921	328
854	1924	326
855	1926	324
856	1928	321
857	1930	319
858	1933	317
859	1935	315
860	1937	312
861	1940	310
862	1942	308
863	1944	306
864	1947	303
865	1949	301
866	1951	299
867	1954	297
868	1956	294
869	1958	292
870	1960	290
871	1963	288
872	1965	285
873	1967	283
874	1970	281
875	1972	279
876	1974	276
877	1976	274
878	1978	272
879	1981	270
880	1983	267
881	1985	265
882	1987	263
883	1989	261
884	1991	258
885	1993	256
886	1996	254
887	1998	252
888	2000	249
889	2002	247
890	2004	245
891	2007	243
892	2009	240
893	2011	238
894	2014	236
895	2016	234
896	2018	231
897	2020	229
898	2022	227
899	2025	225
900	2027	222
901	2029	220
902	2031	218
903	2033	215
904	2036	213
905	2038	211
906	2040	209
907	2042	206
908	2044	204
909	2046	202
910	2049	200
911	2051	197
912	2053	195
913	2055	193
914	2057	191
915	2059	188
916	2061	186
917	2064	184
918	2066	182
919	2068	179
920	2070	177
921	2072	175
922	2074	173
923	2077	170
924	2079	168
925	2081	166
926	2083	164
927	2085	161
928	2087	159
929	2089	157
930	2092	155
931	2094	152
932	2096	150
933	2098	148
934	2101	146
935	2103	143
936	2105	141
937	2108	139
938	2110	137
939	2112	134
940	2114	132
941	2117	130
942	2119	128
943	2121	125
944	2124	123
945	2126	121
946	2128	119
947	2130	116
948	2133	114
949	2135	112
950	2137	110
951	2139	107
952	2142	105
953	2144	103
954	2146	101
955	2148	98
956	2151	96
957	2153	94
958	2155	92
959	2158	89
960	2160	87
961	2162	85
962	2164	83
963	2167	80
964	2169	78
965	2171	76
966	2173	74
967	2175	71
968	2177	69
969	2180	67
970	2182	65
971	2184	62
972	2186	60
973	2188	58
974	2190	56
975	2192	53
976	2195	51
977	2197	49
978	2199	47
979	2201	44
980	2204	42
981	2206	40
982	2208	38
983	2210	35
984	2212	33
985	2214	31
986	2216	29
987	2219	26
988	2221	24
989	2223	22
990	2225	20
991	2228	17
992	2230	15
993	2232	13
994	2234	11
995	2236	8
996	2239	6
997	2241	4
998	2243	2
999	2246	0
